Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2025-10-01,0,0,57.2,33.3,45.7,0
2025-10-02,0,0,62.6,31.1,45.1,0
2025-10-03,0,0,65.1,32.4,48.2,0
2025-10-04,0,0,59.9,32.5,45,0.1
2025-10-05,0,0.1,46.9,28.6,35.1,1
2025-10-06,0.8,1.1,36.5,28,32,0.1
2025-10-07,0.8,1.2,45.3,25.5,33.3,0
2025-10-08,0.5,1.2,57.9,27.7,44.2,0
2025-10-09,0.2,1.2,60.4,35.1,47.8,0
2025-10-10,0.1,1.2,53.6,35.1,44.6,0
2025-10-11,0.1,1.2,53.6,37.8,45,0
2025-10-12,0.1,1.2,46.2,27,36.7,0.1
2025-10-13,0.1,1.3,44.4,24.6,33.1,0
2025-10-14,0.1,1.3,59.4,31.5,42.1,0
2025-10-15,0.1,1.3,61.3,28.6,43.9,0
2025-10-16,0.1,1.3,49.8,29.7,37,0.1
2025-10-17,0.1,1.4,41.5,28.4,34.9,0
2025-10-18,0.1,1.4,41,30.9,35.4,0
2025-10-19,0.1,1.4,54.1,36,44.6,0
2025-10-20,0,1.4,44.8,24.1,32,0.4
2025-10-21,0.3,1.8,49.3,29.7,39.2,0
2025-10-22,0.3,1.8,53.1,27.1,39.2,0
2025-10-23,0.3,1.8,51.6,28.2,38.5,0
2025-10-24,0.1,1.8,48.7,27.1,34.9,0
2025-10-25,0.1,1.8,52.7,28.4,39.9,0
2025-10-26,0.1,1.8,54.3,31.5,43.2,0
2025-10-27,0.1,1.8,46.9,16,34.3,0.1
2025-10-28,0.2,1.9,27.5,14.4,20.8,0
2025-10-29,0.2,1.9,48.6,23.7,37.6,0
2025-10-30,0.2,1.9,42.1,25,32.9,0
2025-10-31,0.2,1.9,40.1,25.2,32,0
2025-11-01,0.2,1.9,47.8,28.8,38.8,0
2025-11-02,0.1,1.9,53.8,34.2,46,0
2025-11-03,0.1,1.9,57.6,32.5,45.9,0
2025-11-04,0.1,1.9,52.9,31.3,42.3,0
2025-11-05,0.1,1.9,55.4,26.4,41.4,0
2025-11-06,0.1,1.9,43.9,27.3,35.4,0.1
2025-11-07,0.1,2,41,26.4,31.8,0.1
2025-11-08,0.2,2.1,34.5,13.5,25.9,0
2025-11-09,0.2,2.1,38.5,16,30.4,0
2025-11-10,0.1,2.1,52.5,33.6,42.4,0
2025-11-11,0.1,2.1,47.5,33.1,39.6,0
2025-11-12,0.1,2.1,50,28.6,38.5,0
2025-11-13,0.1,2.1,49.5,29.3,38.8,0
2025-11-14,0.1,2.1,50.5,31.8,42.6,0
2025-11-15,0.1,2.1,49.3,27.3,38.8,0
2025-11-16,0.1,2.1,52.2,27.9,38.7,0.1
2025-11-17,0.1,2.2,30.4,24.3,28,0
2025-11-18,0.1,2.2,41.7,21.4,30.4,0
2025-11-19,0.1,2.2,41.5,25.2,32.2,0
2025-11-20,0.1,2.2,38.3,25.5,30.2,0.1
2025-11-21,0.2,2.3,34.7,26.6,30,0
2025-11-22,0.2,2.3,42.3,23.7,30.9,0
2025-11-23,0.2,2.3,42.6,26.1,31.6,0
2025-11-24,0.2,2.3,39.2,24.3,30,0
2025-11-25,0.2,2.3,27,16.2,22.1,0.1
2025-11-26,0.3,2.4,27.7,20.5,24.1,0
